,avg of sum,avg of ana,avg of cata
78,2021.77195,186.4873272,106.5485759
79,2027.55116,179.8229923,100.0725017
80,2033.24777,173.2219652,93.7063503
81,2039.291131,200,123.4995569
82,2045.264284,193.2302126,116.7785238
83,2051.164121,186.5206281,110.1560043
84,2056.987309,179.8726644,103.6361217
85,2062.730229,173.2878126,97.22328219
86,2068.811446,200,127.274994
87,2074.824191,193.2467965,120.5154466
88,2080.765506,186.5536164,113.8520492
89,2086.632229,179.9218708,107.2887253
90,2092.420928,173.3530435,100.829662
91,2098.539726,200,131.1373134
92,2104.591732,193.2632259,124.3394958
93,2110.574135,186.5862977,117.6355362
94,2116.483928,179.9706197,111.0291692
95,2122.317859,173.4176682,104.5243756
96,2128.473944,200,135.0854749
97,2134.564866,193.2795033,128.2496585
98,2140.587948,186.6186769,121.5054784
99,2146.540335,180.0189184,114.8564909
100,2152.418939,173.4816968,108.3064819
101,2158.610791,200,139.1186034
102,2164.740269,193.2956305,132.2450813
103,2170.803612,186.6507578,125.4610427
104,2176.798105,180.0667727,118.7698751
105,2182.720819,173.5451368,112.1751805
106,2188.937624,200,143.2359493
107,2195.102038,193.3116056,136.3250287
108,2201.204897,186.6825349,129.5015046
109,2207.241004,180.1141733,122.7686061
110,2213.20726,173.6079751,116.129762
111,2219.401896,200,147.4367494
112,2225.577546,193.3274082,140.4887348
113,2231.710324,186.7139587,133.6260868
114,2237.785338,180.161038,126.8518901
115,2243.794534,173.6700964,120.1694125
116,2249.881877,200,151.7195776
117,2255.996721,193.3429859,144.7347497
118,2262.109376,186.7449018,137.8332962
119,2268.197709,180.2071464,131.0181746
120,2274.240195,173.7311781,124.2925105
121,2280.088478,200,156.0808434
122,2286.041261,193.3582108,149.059419
123,2292.04466,186.7750971,142.1194045
124,2298.069256,180.2520757,135.2636432
125,2304.0891,173.7906192,128.4951323
126,2309.504609,200,160.5129309
127,2315.11549,193.3728493,153.4550147
128,2320.878325,186.804044,146.4765459
129,2326.736172,180.2950429,139.5802804
130,2332.640846,173.8473464,132.7691065
131,2337.463607,200,165.0019735
132,2342.522207,193.3866011,157.9075607
133,2347.809567,186.8311276,150.890626
134,2353.30138,180.3350723,143.9538387
135,2358.952833,173.899984,137.1000035
136,2363.118466,200,169.5257988
137,2367.517549,193.3990884,162.3947845
138,2372.159689,186.855647,155.3393196
139,2377.049462,180.371174,148.3619718
140,2382.181618,173.947237,141.4654465
141,2385.687112,200,174.0553162
142,2389.406993,193.409969,166.8875718
143,2393.35443,186.8769663,159.7935327
144,2397.54256,180.4024809,152.7756609
145,2401.984343,173.9880759,145.8365518
146,2404.847308,200,178.559554
147,2407.904187,193.4191276,171.3551016
148,2411.167373,186.8948734,164.2226139
149,2414.65007,180.4287153,157.1644522
150,2418.366496,174.0222052,150.1831053
151,2420.610227,200,183.0093329
152,2423.028374,193.4266103,175.7684325
153,2425.632066,186.9094626,168.5978628
154,2428.433144,180.4500244,161.4998926
155,2431.444461,174.0498366,154.4769112
156,2433.094656,200,187.378322
157,2434.900916,193.4325087,180.1014612
158,2436.873204,186.9209155,172.8934031
159,2439.022107,180.4666786,165.7563316
160,2441.359106,174.0713295,158.6925449
161,2442.443133,200,191.6429744
162,2443.66601,193.4369168,184.3308306
163,2445.036631,186.9294184,177.0860655
164,2446.56443,180.4789551,169.9107855
165,2448.259628,174.0870499,162.8072052
166,2448.806056,200,195.7822494
167,2449.475239,193.4399243,188.4356549
168,2450.275089,186.9351489,181.1551161
169,2451.213979,180.4871174,173.9426687
170,2452.300979,174.0973456,166.8004514
171,2452.339213,200,199.7773575
172,2452.485199,193.441616,192.3972701
173,2452.745946,186.9382753,185.0820136
174,2453.128858,180.4914156,177.8335589
175,2453.64195,174.1025466,170.653976
176,2453.201941,200,203.6115424
177,2452.855738,193.4420728,196.1990226
178,2452.609527,186.9389576,188.8502033
179,2452.469824,180.4920874,181.5669968
180,2452.44368,174.1029668,174.3514104
181,2451.555696,200,207.2698973
182,2450.748597,193.4413714,199.8260895
183,2450.027815,186.9373481,192.4449426
184,2449.399056,180.489359,185.1283162
185,2448.868494,174.0989049,177.8781608
186,2447.562942,200,210.7392112
187,2446.326343,193.4395851,203.2653287
188,2445.163443,186.9335919,195.8531551
189,2444.079208,180.4834465,188.5045021
190,2443.079012,174.0906464,181.2212695
191,2441.386303,200,214.007841
192,2439.751568,193.4367841,206.505154
193,2438.178928,186.9278285,199.0633079
194,2436.67268,180.4745569,191.6840717
195,2435.237468,174.0784648,184.3692992
196,2433.187907,200,217.0656055
197,2431.186261,193.4330359,209.5354318
198,2429.236085,186.9201917,202.0653118
199,2427.341066,180.4628896,194.6569764
200,2425.505191,174.0626237,187.3122385
201,2423.128895,200,219.9037002
202,2420.791343,193.4284057,212.3473973
203,2418.495577,186.9108111,204.8504391
204,2416.244735,180.4486375,197.4145221
205,2414.042208,174.0433785,190.0414232
206,2411.369043,200,222.5146278
207,2408.726306,193.422957,214.9335876
208,2406.116581,186.8998126,207.4112577
209,2403.54251,180.4319882,199.9493051
210,2401.006949,174.0209773,192.5494745
211,2398.066477,200,224.8921447
212,2395.148947,193.4167518,217.2877882
213,2392.256531,186.8873196,209.7415803
214,2389.39143,180.4131253,202.2551617
215,2386.556018,173.9956635,194.8302496
216,2383.377458,200,227.0312193
217,2380.215158,193.4098508,219.4049933
218,2377.070922,186.8734529,211.8364242
219,2373.946559,180.3922294,204.3271303
220,2370.844017,173.9676762,196.8788046
221,2367.456213,200,228.9280016
222,2364.078763,193.4023144,221.2813758
223,2360.713152,186.8583325,213.691983
224,2357.36084,180.3694792,206.1614225
225,2354.023403,173.9372524,198.691367
226,2350.454792,200,230.5798027
227,2346.891387,193.3942022,222.9142672
228,2343.334394,186.8420772,215.3056066
229,2339.784971,180.3450521,207.7554044
230,2336.244369,173.9046277,200.2653169
231,2332.522955,200,231.9850811
232,2328.802336,193.3855739,224.3021446
233,2325.083479,186.8248058,216.6757887
234,2321.367286,180.3191257,209.1075847
235,2317.654727,173.8700375,201.5991754
236,2313.808055,200,233.1434368
237,2309.958487,193.3764894,225.4446245
238,2306.10679,186.8066376,217.802161
239,2302.253649,180.2918781,210.2176081
240,2298.399801,173.8337183,202.6925985
241,2294.454931,200,234.055609
242,2290.504175,193.3670088,226.3424614
243,2286.548139,186.7876926,218.6854915
244,2282.587334,180.2634884,211.0862546
245,2278.622306,173.7959083,203.5463766
246,2274.605777,200,234.7234791
247,2270.581062,193.357193,226.9975501
248,2266.548642,186.7680918,219.327687
249,2262.508891,180.234138,211.7154416
250,2258.462208,173.756848,204.1624357
251,2254.400011,200,235.150075
252,2250.328001,193.3471033,227.4129302
253,2246.24657,186.7479579,219.7317975
254,2242.155997,180.20401,212.1082277
255,2238.056573,173.7167811,204.543842
256,2233.974109,200,235.3395767
257,2229.880864,193.3368022,227.5927914
258,2225.777181,186.7274153,219.9020209
259,2221.663277,180.1732902,212.2688181
260,2217.539381,173.6759544,204.694806
261,2213.461415,200,235.2973219
262,2209.372352,193.3263529,227.5424786
263,2205.272514,186.7065897,219.8437082
264,2201.162099,180.1421671,212.2025682
265,2197.041309,173.6346181,204.6206864
266,2192.991926,200,235.0298087
267,2188.931762,193.3158193,227.2684944
268,2184.861159,186.685609,219.5633651
269,2180.780329,180.1108314,211.9159857
270,2176.68949,173.593026,204.3279913
271,2172.692031,200,234.5446958
272,2168.684732,193.3052663,226.7784986
273,2164.667986,186.6646023,219.0686514
274,2160.642056,180.0794763,211.4167286
275,2156.607218,173.5514344,203.8243756
276,2152.684221,200,233.8507967
277,2148.752933,193.2947593,226.081302
278,2144.813835,186.6437,218.3683735
279,2140.867276,180.0482967,210.7135978
280,2136.913627,173.5101021,203.118633
281,2133.086752,200,232.9580674
282,2129.253733,193.2843643,225.1868532
283,2125.415167,186.6230333,217.4724711
284,2121.57153,180.0174883,209.8165222
285,2117.723323,173.4692892,202.2206802
286,2114.013276,200,231.8775851
287,2110.29981,193.2741471,224.1062166
288,2106.583676,186.6027336,216.3919942
289,2102.865506,179.9872474,208.7365359
290,2099.145972,173.4292557,201.1415331
291,2095.57242,200,230.6215172
292,2091.998735,193.2641735,222.8515407
293,2088.425854,186.5829316,215.1390705
294,2084.854601,179.9577689,207.4857436
295,2081.285859,173.3902602,199.8932718
296,2077.867333,200,229.2030774
297,2074.452504,193.2545086,221.4360136
298,2071.042523,186.5637565,213.7268601
299,2067.638444,179.9292455,206.0772753
300,2064.241393,173.3525578,198.4889936
301,2060.995196,200,227.6364693
302,2057.757043,193.2452161,219.8738049
303,2054.528334,186.545335,212.1694967
304,2051.310382,179.9018657,204.5252263
305,2048.104596,173.316398,196.9427528
306,2045.046694,200,225.9368141
307,2042.00168,193.2363579,218.1799941
308,2038.971226,186.52779,210.4820148
309,2035.95694,179.8758122,202.8445833
310,2032.960548,173.2820222,195.2694854
311,2030.105472,200,224.1200635
312,2027.268588,193.2279933,216.370481
313,2024.451874,186.5112389,208.6802598
314,2021.657262,179.8512598,201.051134
315,2018.886829,173.249661,193.4849183
316,2016.24756,200,222.2028951
317,2013.632218,193.2201786,214.4618821
318,2011.043114,186.495793,206.7807833
319,2008.482533,179.828373,199.1613617
320,2005.952932,173.2195313,191.6054624
321,2003.540801,200,220.202592
322,2001.158724,193.2129659,212.4714083
323,1998.809371,186.481555,204.8007206
324,1996.495406,179.8073041,197.1923219
325,1994.219699,173.1918333,189.6480897
326,1992.044282,200,218.136905
327,1989.905397,193.2064025,210.4167279
328,1987.806095,186.4686182,202.7576529
329,1985.749444,179.7881908,195.1615047
330,1983.738755,173.1667472,187.6301942
331,1981.807778,200,216.0239007
332,1979.920116,193.2005301,208.3158135
333,1978.079219,186.4570646,200.6694545
334,1976.288585,179.7711535,193.0866811
335,1974.551988,173.1444307,185.5694391
336,1972.871242,200,213.8817946
337,1971.240847,193.1953843,206.1867758
338,1969.66467,186.4469635,198.5541265
339,1968.146657,179.7562938,190.9857379
340,1966.691068,173.1250157,183.483591
341,1965.264337,200,211.7287736
342,1963.895189,193.1909935,204.0476864
343,1962.587926,186.4383703,196.4296203
344,1961.346955,179.7436921,188.8765001
345,1960.177042,173.1086058,181.3903434
346,1959.006046,200,209.5828098
347,1957.900004,193.1873789,201.9163925
348,1956.863663,186.4313251,194.3136521
349,1955.901905,179.7334062,186.776548
350,1955.020015,173.0952745,179.3071343
351,1954.104373,200,207.4614698
352,1953.261135,193.1845532,199.8103267
353,1952.495496,186.4258523,192.2235152
354,1951.812824,179.7254696,184.703029
355,1951.218929,173.0850629,177.2509591
356,1950.556152,200,205.3817233
357,1949.973238,193.1825211,197.7463169
358,1949.475835,186.4219592,190.1758902
359,1949.069802,179.7198911,182.6724707
360,1948.761479,173.0779792,175.2381858
361,1948.346977,200,203.359755
362,1948.019742,193.1812787,195.740401
363,1947.785876,186.4196364,188.1866617
364,1947.651722,179.716654,180.7005982
365,1947.624154,173.0739981,173.2843736
366,1947.451281,200,201.4107864
367,1947.372957,193.1808136,193.8076489
368,1947.395729,186.4188577,186.2707427
369,1947.526424,179.7157166,178.8021615
370,1947.772438,173.0730605,171.4041031
371,1947.832563,200,199.5489091
372,1947.994328,193.181105,191.9619994
373,1948.264716,186.4195801,184.4419135
374,1948.651025,179.7170126,176.9907763
375,1949.161166,173.0750754,169.6108192
376,1949.443772,200,197.7869373
377,1949.834851,193.1821243,190.2161143
378,1950.341811,186.4217453,182.7126781
379,1950.972404,179.7204523,175.2787832
380,1951.735039,173.0799208,167.9166929
381,1952.227852,200,196.1362805
382,1952.835655,193.1838355,188.5812538
383,1953.566256,186.42528,181.0941423
384,1954.427844,179.7259246,173.6771285
385,1955.429305,173.0874464,166.3325055
386,1956.118453,200,194.6068415
387,1956.928728,193.1861958,187.0671768
388,1957.868319,186.4300979,179.5959168
389,1958.945825,179.7332987,172.1952695
390,1960.170582,173.0974765,164.8675558
391,1961.040777,200,193.2069415
392,1962.037803,193.1891565,185.6820685
393,1963.170204,186.4361013,178.2260464
394,1964.446961,179.7424272,170.8411069
395,1965.877828,173.1098131,163.529596
396,1966.912565,200,191.943273
397,1968.079361,193.1926641,184.4324954
398,1969.387079,186.4431826,176.9909686
399,1970.845053,179.7531484,169.6209453
400,1972.463419,173.1242401,162.3247938
401,1973.645201,200,190.8208824
402,1974.963748,193.1966612,183.3233898
403,1976.428214,186.4512269,175.895499
404,1978.048247,179.7652896,168.5394806
405,1979.834328,173.1405272,161.2577228
